D,R,N_R,H_R,C_sigma_inerte
-43,419581,11246,1.008298755187,0.344161733658
-43,419601,25776,2.290640394089,0.347210810608
-43,419621,11170,1.000319335782,0.344532375899
-43,419641,11034,1.000000000000,0.340431241839
-43,419661,22749,2.021310057403,0.347221575995
-43,419681,11572,1.036170329369,0.344536711865
-43,419701,11022,1.000000000000,0.340016146504
-43,419721,18232,1.666690492017,0.337442198659
-43,419741,15111,1.330570518486,0.350312997678
-43,419761,11002,1.000000000000,0.339354402789
-43,419781,18234,1.667071639736,0.337357555253
-43,419801,11005,1.000000000000,0.339417091511
-43,419821,11084,1.000004763935,0.341836959456
-43,419841,20951,1.888969871928,0.342046541281
-43,419861,11012,1.000000000000,0.339588199337
-43,419881,16922,1.466165413534,0.355906580914
-43,419901,18255,1.666690481804,0.337734239583
-43,419921,11114,1.000004762801,0.342686855315
-43,419941,11169,1.004319654428,0.342888061771
-43,419961,18186,1.666690478402,0.336413319481
-43,419981,385,1.000000000000,0.011869504642
-43,420001,11142,1.000004761893,0.343489817549
-43,420021,27819,2.471554993679,0.346980392960
-43,420041,11051,1.000000000000,0.340656119612
-43,420061,11878,1.054054054054,0.347356934182
-43,420081,18276,1.667404619585,0.337844305976
-43,420101,11367,1.009478672986,0.347061218496
-43,420121,11026,1.000000000000,0.339825750756
-43,420141,18206,1.667214101932,0.336544411029
-43,420161,14475,1.285714285714,0.346955874870
-43,420181,12051,1.068965517241,0.347408513869
-43,420201,21928,1.962962962963,0.344230152394
-43,420221,11056,1.000000000000,0.340675536168
-43,420241,11100,1.000004759174,0.342014687576
-43,420261,21230,1.892573900505,0.345622430834
-43,420281,11202,1.002317497103,0.344330868657
-43,420301,14502,1.285714285714,0.347496202270
-43,420321,18362,1.666666666667,0.339405437123
-43,420341,11044,1.000000000000,0.340216123030
-43,420361,11042,1.000000000000,0.340139577882
-43,420381,20889,1.888888888889,0.340644669064
-43,420401,11134,1.001137009665,0.342553960827
-43,420421,11008,1.000000000000,0.339047580058
-43,420441,23837,2.143071203807,0.342569078734
-43,420461,11173,1.000080863623,0.344071564688
-43,420481,11192,1.000004756457,0.344667770116
-43,420501,18229,1.666690447823,0.336809145741
-43,420521,11025,1.000000000000,0.339496667032
-43,420541,11050,1.000000000000,0.340251568065
-43,420561,20874,1.888888888889,0.340265616178
-43,420581,14421,1.285757083653,0.345331497664
-43,420601,11144,1.000109367310,0.343063324988
-43,420621,18212,1.666690441038,0.336406458641
-43,420641,12688,1.122137404580,0.348088522870
-43,420661,11080,1.000000000000,0.341085517303
-43,420681,18334,1.666666666667,0.338620263371
-43,420701,11239,1.006042296073,0.343872024038
-43,420721,14401,1.285757069412,0.344746679221
-43,420741,21909,1.962962962963,0.343524535753
-43,420761,11973,1.070586389898,0.344198938241
-43,420781,11105,1.000004753066,0.341763526041
-43,420801,19757,1.772512422737,0.343021923130
-43,420821,11073,1.000000000000,0.340750434443
-43,420841,380,1.000204352713,0.011690872622
-43,420861,25161,2.231461218787,0.346953746392
-43,420881,11430,1.022904336380,0.343815295569
-43,420901,11082,1.000000000000,0.340967578545
-43,420921,20919,1.888969664141,0.340715454829
