D,p2_type,Rmax,step,Rmin,Rtail,bins_tail,pts_export,C_median,C_mean,C_sd,C_inf,a_slope,se_Cinf,se_a,n_tail,C_base,L1_chi,S_Delta,C_inf_star,a_star,se_Cinf_star,se_a_star,n_tail_star,csv_file
-3,inert,10000001,10,101,1000000,200,499996,0.784565620518,0.603530790338,0.278748205150,0.566051552382,0.562718205560,0.000065729401,0.001008208960,200,0.678916569553,0.604599788078,0.833757162172,0.742980576691,1.353012191953,0.000337712550,0.005180099197,200,csigma_inerte_D-3_Rmax10000001_step10.csv
-4,ramif,10000001,10,101,1000000,200,499996,0.785692473839,0.786640717750,0.007897575048,0.735034419687,0.774792277268,0.000064451269,0.000988603963,200,0.881938494424,0.785398163397,0.833430476540,0.735034419687,0.774792277268,0.000064451269,0.000988603963,200,csigma_inerte_D-4_Rmax10000001_step10.csv
-7,split,10000001,10,101,1000000,200,499996,0.525295993812,0.465624066962,0.159172723891,0.431485783658,0.512546241246,0.000183005034,0.002807074329,200,1.333365673086,1.187410411724,0.323606488728,0.486170150056,0.893842072746,0.000248176772,0.003806729410,200,csigma_inerte_D-7_Rmax10000001_step10.csv
-8,ramif,10000001,10,101,1000000,200,499996,0.746486414635,0.746644390583,0.009010554618,0.692070224214,0.819334278054,0.000070417979,0.001080126028,200,1.247249379994,1.110720734540,0.554877184399,0.692070224214,0.819334278054,0.000070417979,0.001080126028,200,csigma_inerte_D-8_Rmax10000001_step10.csv
-11,inert,10000001,10,101,1000000,200,499996,0.755905807676,0.695043455314,0.195971823166,0.650708180038,0.665555486690,0.000280461522,0.004301938151,200,1.063657845155,0.947225825099,0.611764566023,0.702789444574,1.059634056845,0.000383146016,0.005876993238,200,csigma_inerte_D-11_Rmax10000001_step10.csv
-19,inert,10000001,10,101,1000000,200,499996,0.538382498685,0.512477520593,0.112862797558,0.473186169092,0.589934652997,0.000208451739,0.003197395792,200,0.809322267708,0.720730784146,0.584669652587,0.493281135380,0.813732096339,0.000273386900,0.004193422070,200,csigma_inerte_D-19_Rmax10000001_step10.csv
-43,inert,10000001,10,101,1000000,200,499996,0.337047417434,0.330096789469,0.049429127714,0.303469681679,0.399611392463,0.000141309043,0.002167508618,200,0.537977438084,0.479088388240,0.564093696493,0.308622245160,0.483038413859,0.000187988820,0.002883519540,200,csigma_inerte_D-43_Rmax10000001_step10.csv
-67,inert,10000001,10,101,1000000,200,499996,0.262642701690,0.259391728144,0.031372655306,0.241297767127,0.271540484258,0.000106811976,0.001638365626,200,0.430983743281,0.383806628883,0.559876725954,0.243619424462,0.321005481532,0.000141342045,0.002168014821,200,csigma_inerte_D-67_Rmax10000001_step10.csv
-163,inert,10000001,10,101,1000000,200,499996,0.156050723785,0.155356196033,0.012191214508,0.156052523834,-0.010442436867,0.000063434379,0.000973006107,200,0.276315016802,0.246068527553,0.564763094096,0.156844420940,-0.000725687621,0.000077768356,0.001192871858,200,csigma_inerte_D-163_Rmax10000001_step10.csv
