D,R,N_R,H_R,C_sigma_inerte,v2_R,v5_R,method_row,n_samples,n_hits,se_N_R,seed,grid_name
-8,101,20.0,1.0198019801980198,0.8961399061827688,0,0,exact,100,20,0.0,20260217,principal
-8,121,22.0,1.0,0.8719619173812256,0,0,exact,120,22,0.0,20260217,principal
-8,141,26.0,1.0425531914893618,0.8752908649648461,0,0,exact,140,26,0.0,20260217,principal
-8,161,41.0,1.3975155279503106,0.9259447953971689,0,0,exact,160,41,0.0,20260217,principal
-8,181,31.0,1.011049723756906,0.8806197156789105,0,0,exact,180,31,0.0,20260217,principal
-8,201,34.0,1.0,0.8970764521094954,0,0,exact,200,34,0.0,20260217,principal
-8,221,41.0,1.153846153846154,0.8679398853420699,0,0,exact,220,41,0.0,20260217,principal
-8,241,38.0,1.0,0.8648227529985265,0,0,exact,240,38,0.0,20260217,principal
-8,261,43.0,1.0689655172413792,0.8576142563257197,0,0,exact,260,43,0.0,20260217,principal
-8,281,43.0,1.0,0.8628087216418187,0,0,exact,280,43,0.0,20260217,principal
-8,301,58.0,1.2857142857142858,0.8553291869649475,0,0,exact,300,58,0.0,20260217,principal
-8,321,49.0,1.0,0.8809988007270118,0,0,exact,320,49,0.0,20260217,principal
-8,341,55.0,1.064516129032258,0.8836185571641691,0,0,exact,340,55,0.0,20260217,principal
-8,361,51.0,1.0,0.8319467475761133,0,0,exact,360,51,0.0,20260217,principal
-8,381,53.0,1.015748031496063,0.8138717490483596,0,0,exact,380,53,0.0,20260217,principal
-8,401,56.0,1.0,0.8370619449605183,0,0,exact,400,56,0.0,20260217,principal
