D,R,N_R,H_R,C_sigma_inerte,v2_R,v5_R,method_row,n_samples,n_hits,se_N_R,seed,grid_name
-163,102,15.0,1.8627450980392157,0.3651294326277056,1,0,exact,101,15,0.0,20260217,complement
-163,105,11.0,3.0000000000000004,0.1625192503229611,0,1,exact,104,11,0.0,20260217,complement
-163,110,10.0,1.6545454545454548,0.25826815196661623,1,1,exact,109,10,0.0,20260217,complement
-163,122,11.0,1.0,0.43314943845955595,1,0,exact,121,11,0.0,20260217,complement
-163,124,9.0,1.064516129032258,0.3286555612912525,2,0,exact,123,9,0.0,20260217,complement
-163,142,4.0,1.0,0.13960076218595102,1,0,exact,141,4,0.0,20260217,complement
-163,155,12.0,1.4903225806451614,0.26199610996983097,0,1,exact,154,12,0.0,20260217,complement
-163,162,13.0,1.9876543209876543,0.2053998520435434,1,0,exact,161,13,0.0,20260217,complement
-163,164,8.0,1.0,0.2487739720889853,2,0,exact,163,8,0.0,20260217,complement
-163,168,14.0,2.1428571428571432,0.19926526586568227,3,0,exact,167,14,0.0,20260217,complement
-163,182,11.0,1.4835164835164838,0.21201508725127677,1,0,exact,181,11,0.0,20260217,complement
-163,202,9.0,1.0198019801980198,0.23191460813888762,1,0,exact,201,9,0.0,20260217,complement
-163,204,21.0,1.8627450980392157,0.2938961049229698,2,0,exact,203,21,0.0,20260217,complement
-163,205,17.0,1.4000000000000001,0.315300242666735,0,1,exact,204,17,0.0,20260217,complement
-163,210,24.0,3.0000000000000004,0.20369933450352257,1,1,exact,209,24,0.0,20260217,complement
-163,220,18.0,1.6545454545454548,0.26671784569874313,2,1,exact,219,18,0.0,20260217,complement
-163,222,19.0,1.756756756756757,0.2632073596296751,1,0,exact,221,19,0.0,20260217,complement
-163,242,9.0,1.1983471074380165,0.17034634322555234,1,0,exact,241,9,0.0,20260217,complement
-163,244,17.0,1.0,0.38299942553272315,2,0,exact,243,17,0.0,20260217,complement
-163,248,11.0,1.064516129032258,0.22972619775687428,3,0,exact,247,11,0.0,20260217,complement
-163,255,34.0,2.607843137254902,0.2833127226096037,0,1,exact,254,34,0.0,20260217,complement
-163,262,12.0,1.0,0.25503867956157694,1,0,exact,261,12,0.0,20260217,complement
-163,275,19.0,1.7490909090909095,0.22186829699722418,0,2,exact,274,19,0.0,20260217,complement
-163,282,17.0,1.6666666666666667,0.20406897916159136,1,0,exact,281,17,0.0,20260217,complement
-163,284,6.0,1.0,0.11934452615833535,2,0,exact,283,6,0.0,20260217,complement
-163,302,6.0,1.0,0.11345219239817622,1,0,exact,301,6,0.0,20260217,complement
-163,305,22.0,1.4000000000000001,0.2947233233849252,0,1,exact,304,22,0.0,20260217,complement
-163,310,26.0,1.4903225806451614,0.3228374020226385,1,1,exact,309,26,0.0,20260217,complement
-163,322,14.0,1.3975155279503106,0.17965271475027048,1,0,exact,321,14,0.0,20260217,complement
-163,324,26.0,1.9876543209876543,0.2333840549854046,2,0,exact,323,26,0.0,20260217,complement
-163,328,14.0,1.0,0.24726277596761592,3,0,exact,327,14,0.0,20260217,complement
-163,342,31.0,2.087719298245614,0.2533321188360515,1,0,exact,341,31,0.0,20260217,complement
-163,355,17.0,1.4000000000000001,0.20085714772853533,0,1,exact,354,17,0.0,20260217,complement
-163,362,18.0,1.011049723756906,0.2897529940242183,1,0,exact,361,18,0.0,20260217,complement
-163,364,24.0,1.4835164835164838,0.2620957274505218,2,0,exact,363,24,0.0,20260217,complement
-163,382,10.0,1.0104712041884816,0.15402644063747606,1,0,exact,381,10,0.0,20260217,complement
