D,R,N_R,H_R,C_sigma_inerte,v2_R,v5_R,method_row,n_samples,n_hits,se_N_R,seed,grid_name
-7,102,27.0,1.8627450980392157,0.6572329787298701,1,0,exact,101,27,0.0,20260217,complement
-7,105,8.0,2.3333333333333335,0.15196605225004156,0,1,exact,104,8,0.0,20260217,complement
-7,110,19.0,1.4000000000000001,0.5799293957795837,1,1,exact,109,19,0.0,20260217,complement
-7,122,14.0,1.0327868852459017,0.533780116081473,1,0,exact,121,14,0.0,20260217,complement
-7,124,16.0,1.064516129032258,0.5842765534066712,2,0,exact,123,16,0.0,20260217,complement
-7,142,18.0,1.0,0.6282034298367796,1,0,exact,141,18,0.0,20260217,complement
-7,155,30.0,1.4903225806451614,0.6549902749245774,0,1,exact,154,30,0.0,20260217,complement
-7,162,40.0,1.9876543209876543,0.6319995447493644,1,0,exact,161,40,0.0,20260217,complement
-7,164,18.0,1.048780487804878,0.533706951749044,2,0,exact,163,18,0.0,20260217,complement
-7,168,7.0,1.6666666666666667,0.12809909948508147,3,0,exact,167,7,0.0,20260217,complement
-7,182,5.0,1.153846153846154,0.12390492112087606,1,0,exact,181,5,0.0,20260217,complement
-7,202,21.0,1.0198019801980198,0.5411340856574044,1,0,exact,201,21,0.0,20260217,complement
-7,204,46.0,1.8627450980392157,0.6437724203074577,2,0,exact,203,46,0.0,20260217,complement
-7,205,39.0,1.4682926829268295,0.6896923228783983,0,1,exact,204,39,0.0,20260217,complement
-7,210,13.0,2.3333333333333335,0.14186203652923893,1,1,exact,209,13,0.0,20260217,complement
-7,220,35.0,1.4000000000000001,0.6129122211764046,2,1,exact,219,35,0.0,20260217,complement
-7,222,39.0,1.6666666666666667,0.5694713997108619,1,0,exact,221,39,0.0,20260217,complement
-7,242,28.0,1.0,0.6350837038528399,1,0,exact,241,28,0.0,20260217,complement
-7,244,28.0,1.0327868852459017,0.6107964694770225,2,0,exact,243,28,0.0,20260217,complement
-7,248,28.0,1.064516129032258,0.5847575942902254,3,0,exact,247,28,0.0,20260217,complement
-7,255,74.0,2.607843137254902,0.616621808032667,0,1,exact,254,74,0.0,20260217,complement
-7,262,27.0,1.015267175572519,0.5652079007577053,1,0,exact,261,27,0.0,20260217,complement
-7,275,49.0,1.4800000000000002,0.6762205989819704,0,2,exact,274,49,0.0,20260217,complement
-7,282,53.0,1.7375886524822697,0.6102470913463673,1,0,exact,281,53,0.0,20260217,complement
-7,284,32.0,1.0,0.6365041395111218,2,0,exact,283,32,0.0,20260217,complement
-7,302,34.0,1.0,0.6428957569229986,1,0,exact,301,34,0.0,20260217,complement
-7,305,50.0,1.4459016393442625,0.6485614259192076,0,1,exact,304,50,0.0,20260217,complement
-7,310,53.0,1.4903225806451614,0.6580916271999938,1,1,exact,309,53,0.0,20260217,complement
-7,322,8.0,1.0,0.14346711914396046,1,0,exact,321,8,0.0,20260217,complement
-7,324,71.0,1.9876543209876543,0.6373179963062972,2,0,exact,323,71,0.0,20260217,complement
-7,328,33.0,1.048780487804878,0.555725142664758,3,0,exact,327,33,0.0,20260217,complement
-7,342,74.0,2.087719298245614,0.6047282836731552,1,0,exact,341,74,0.0,20260217,complement
-7,355,48.0,1.4000000000000001,0.5671260641746879,0,1,exact,354,48,0.0,20260217,complement
-7,362,34.0,1.011049723756906,0.5473112109346345,1,0,exact,361,34,0.0,20260217,complement
-7,364,9.0,1.153846153846154,0.12636758287793012,2,0,exact,363,9,0.0,20260217,complement
-7,382,41.0,1.0,0.6381210600860461,1,0,exact,381,41,0.0,20260217,complement
