D,R,N_R,H_R,C_sigma_inerte,v2_R,v5_R,method_row,n_samples,n_hits,se_N_R,seed,grid_name
-7,101,12.0,1.0198019801980198,0.5376839437096613,0,0,exact,100,12,0.0,20260217,principal
-7,121,16.0,1.0,0.6341541217318005,0,0,exact,120,16,0.0,20260217,principal
-7,141,30.0,1.7375886524822697,0.6059705988218165,0,0,exact,140,30,0.0,20260217,principal
-7,161,4.0,1.0,0.1262460711797382,0,0,exact,160,4,0.0,20260217,principal
-7,181,21.0,1.011049723756906,0.5965488396534554,0,0,exact,180,21,0.0,20260217,principal
-7,201,37.0,1.6666666666666667,0.5857381540244353,0,0,exact,200,37,0.0,20260217,principal
-7,221,36.0,1.2895927601809956,0.6818731833496109,0,0,exact,220,36,0.0,20260217,principal
-7,241,25.0,1.008298755186722,0.5642795199064459,0,0,exact,240,25,0.0,20260217,principal
-7,261,55.0,1.8888888888888888,0.6207882807357975,0,0,exact,260,55,0.0,20260217,principal
-7,281,32.0,1.0,0.6420902114543767,0,0,exact,280,32,0.0,20260217,principal
-7,301,8.0,1.0,0.15168399374747843,0,0,exact,300,8,0.0,20260217,principal
-7,321,52.0,1.6666666666666667,0.5609625016874034,0,0,exact,320,52,0.0,20260217,principal
-7,341,35.0,1.064516129032258,0.5623027181953805,0,0,exact,340,35,0.0,20260217,principal
-7,361,46.0,1.1108033240997228,0.6755321348711036,0,0,exact,360,46,0.0,20260217,principal
-7,381,62.0,1.6666666666666667,0.5802418287525283,0,0,exact,380,62,0.0,20260217,principal
-7,401,43.0,1.0,0.6427439934518266,0,0,exact,400,43,0.0,20260217,principal
