D,R,N_R,H_R,C_sigma_inerte,v2_R,v5_R,method_row,n_samples,n_hits,se_N_R,seed,grid_name
-19,101,22.0,1.0,1.005273775945621,0,0,exact,100,22,0.0,20260217,principal
-19,121,23.0,1.0,0.9115965499894632,0,0,exact,120,23,0.0,20260217,principal
-19,141,47.0,1.6666666666666667,0.9897519780756336,0,0,exact,140,47,0.0,20260217,principal
-19,161,31.0,1.0,0.9784070516429713,0,0,exact,160,31,0.0,20260217,principal
-19,181,35.0,1.011049723756906,0.9942480660890924,0,0,exact,180,35,0.0,20260217,principal
-19,201,60.0,1.7164179104477615,0.9223138970537521,0,0,exact,200,60,0.0,20260217,principal
-19,221,50.0,1.153846153846154,1.0584632748074023,0,0,exact,220,50,0.0,20260217,principal
-19,241,43.0,1.008298755186722,0.970560774239087,0,0,exact,240,43,0.0,20260217,principal
-19,261,96.0,2.019157088122605,1.0136507762864873,0,0,exact,260,96,0.0,20260217,principal
-19,281,50.0,1.00711743772242,0.9961757366314037,0,0,exact,280,50,0.0,20260217,principal
-19,301,48.0,1.0,0.9101039624848704,0,0,exact,300,48,0.0,20260217,principal
-19,321,90.0,1.6978193146417446,0.9530820203333971,0,0,exact,320,90,0.0,20260217,principal
-19,341,61.0,1.064516129032258,0.9800133088548059,0,0,exact,340,61,0.0,20260217,principal
-19,361,44.0,1.0,0.7177579783009604,0,0,exact,360,44,0.0,20260217,principal
-19,381,102.0,1.6929133858267718,0.9397915290898039,0,0,exact,380,102,0.0,20260217,principal
-19,401,66.0,1.0049875311720697,0.9816413255638552,0,0,exact,400,66,0.0,20260217,principal
