D,R,N_R,H_R,C_sigma_inerte,v2_R,v5_R,method_row,n_samples,n_hits,se_N_R,seed,grid_name
-67,102,18.0,1.6666666666666667,0.48970300375951104,1,0,exact,101,18,0.0,20260217,complement
-67,105,29.0,3.0000000000000004,0.4284598417605338,0,1,exact,104,29,0.0,20260217,complement
-67,110,19.0,1.6545454545454548,0.4907094887365709,1,1,exact,109,19,0.0,20260217,complement
-67,122,13.0,1.0327868852459017,0.4956529649327963,1,0,exact,121,13,0.0,20260217,complement
-67,124,11.0,1.064516129032258,0.4016901304670864,2,0,exact,123,11,0.0,20260217,complement
-67,142,12.0,1.0,0.418802286557853,1,0,exact,141,12,0.0,20260217,complement
-67,155,19.0,1.4903225806451614,0.414827174118899,0,1,exact,154,19,0.0,20260217,complement
-67,162,29.0,1.9876543209876543,0.4581996699432892,1,0,exact,161,29,0.0,20260217,complement
-67,164,16.0,1.048780487804878,0.4744061793324836,2,0,exact,163,16,0.0,20260217,complement
-67,168,32.0,2.1428571428571432,0.45546346483584516,3,0,exact,167,32,0.0,20260217,complement
-67,182,25.0,1.4835164835164838,0.4818524710256291,1,0,exact,181,25,0.0,20260217,complement
-67,202,19.0,1.0198019801980198,0.48959750607098496,1,0,exact,201,19,0.0,20260217,complement
-67,204,30.0,1.6666666666666667,0.46924588180978377,2,0,exact,203,30,0.0,20260217,complement
-67,205,29.0,1.4682926829268295,0.5128481375249628,0,1,exact,204,29,0.0,20260217,complement
-67,210,54.0,3.0000000000000004,0.4583235026329258,1,1,exact,209,54,0.0,20260217,complement
-67,220,34.0,1.6545454545454548,0.503800375208737,2,1,exact,219,34,0.0,20260217,complement
-67,222,31.0,1.6666666666666667,0.4526567536163261,1,0,exact,221,31,0.0,20260217,complement
-67,242,27.0,1.1983471074380165,0.511039029676657,1,0,exact,241,27,0.0,20260217,complement
-67,244,24.0,1.0327868852459017,0.523539830980305,2,0,exact,243,24,0.0,20260217,complement
-67,248,22.0,1.064516129032258,0.45945239551374856,3,0,exact,247,22,0.0,20260217,complement
-67,255,52.0,2.3333333333333335,0.4842784947029213,0,1,exact,254,52,0.0,20260217,complement
-67,262,20.0,1.0,0.4250644659359616,1,0,exact,261,20,0.0,20260217,complement
-67,275,36.0,1.7490909090909095,0.4203820364157932,0,2,exact,274,36,0.0,20260217,complement
-67,282,36.0,1.6666666666666667,0.4321460735186641,1,0,exact,281,36,0.0,20260217,complement
-67,284,23.0,1.0,0.45748735027361886,2,0,exact,283,23,0.0,20260217,complement
-67,302,23.0,1.0,0.43490007085967547,1,0,exact,301,23,0.0,20260217,complement
-67,305,39.0,1.4459016393442625,0.505877912216982,0,1,exact,304,39,0.0,20260217,complement
-67,310,34.0,1.4903225806451614,0.4221719872603734,1,1,exact,309,34,0.0,20260217,complement
-67,322,35.0,1.2857142857142858,0.48818672486486536,1,0,exact,321,35,0.0,20260217,complement
-67,324,55.0,1.9876543209876543,0.493697039392202,2,0,exact,323,55,0.0,20260217,complement
-67,328,28.0,1.048780487804878,0.47152436347312804,3,0,exact,327,28,0.0,20260217,complement
-67,342,54.0,1.8888888888888888,0.48773959721575955,1,0,exact,341,54,0.0,20260217,complement
-67,355,39.0,1.4000000000000001,0.460789927141934,0,1,exact,354,39,0.0,20260217,complement
-67,362,33.0,1.0,0.5370835883708576,1,0,exact,361,33,0.0,20260217,complement
-67,364,46.0,1.4835164835164838,0.5023501442801667,2,0,exact,363,46,0.0,20260217,complement
-67,382,30.0,1.0104712041884816,0.4620793219124282,1,0,exact,381,30,0.0,20260217,complement
