D,R,N_R,H_R,C_sigma_inerte,v2_R,v5_R,method_row,n_samples,n_hits,se_N_R,seed,grid_name
-4,102,18.0,1.6666666666666667,0.48970300375951104,1,0,exact,101,18,0.0,20260217,complement
-4,105,43.0,2.1428571428571432,0.8894235335856598,0,1,exact,104,43,0.0,20260217,complement
-4,110,15.0,1.1818181818181819,0.5423631191298942,1,1,exact,109,15,0.0,20260217,complement
-4,122,14.0,1.0,0.5512811034939803,1,0,exact,121,14,0.0,20260217,complement
-4,124,8.0,1.064516129032258,0.2921382767033356,2,0,exact,123,8,0.0,20260217,complement
-4,142,13.0,1.028169014084507,0.4412722722521671,1,0,exact,141,13,0.0,20260217,complement
-4,155,29.0,1.064516129032258,0.886420172064595,0,1,exact,154,29,0.0,20260217,complement
-4,162,34.0,1.9876543209876543,0.5371996130369597,1,0,exact,161,34,0.0,20260217,complement
-4,164,10.0,1.0,0.31096746511123163,2,0,exact,163,10,0.0,20260217,complement
-4,168,13.0,2.1428571428571432,0.1850320325895621,3,0,exact,167,13,0.0,20260217,complement
-4,182,24.0,1.2857142857142858,0.5337442755976199,1,0,exact,181,24,0.0,20260217,complement
-4,202,20.0,1.0,0.5255710591486342,1,0,exact,201,20,0.0,20260217,complement
-4,204,18.0,1.6666666666666667,0.2815475290858703,2,0,exact,203,18,0.0,20260217,complement
-4,205,35.0,1.0,0.9088065818041186,0,1,exact,204,35,0.0,20260217,complement
-4,210,43.0,2.1428571428571432,0.5109458307130025,1,1,exact,209,43,0.0,20260217,complement
-4,220,15.0,1.1818181818181819,0.311170819981867,2,1,exact,219,15,0.0,20260217,complement
-4,222,32.0,1.6666666666666667,0.46725858437814305,1,0,exact,221,32,0.0,20260217,complement
-4,242,28.0,1.1983471074380165,0.5299664011461629,1,0,exact,241,28,0.0,20260217,complement
-4,244,14.0,1.0,0.3154112916151837,2,0,exact,243,14,0.0,20260217,complement
-4,248,8.0,1.064516129032258,0.16707359836863583,3,0,exact,247,8,0.0,20260217,complement
-4,255,65.0,1.6666666666666667,0.8474873657301122,0,1,exact,254,65,0.0,20260217,complement
-4,262,23.0,1.015267175572519,0.48147339694174895,1,0,exact,261,23,0.0,20260217,complement
-4,275,51.0,1.1818181818181819,0.8814010030184466,0,2,exact,274,51,0.0,20260217,complement
-4,282,43.0,1.7375886524822697,0.4951061307149773,1,0,exact,281,43,0.0,20260217,complement
-4,284,13.0,1.028169014084507,0.2514954284112866,2,0,exact,283,13,0.0,20260217,complement
-4,302,24.0,1.0132450331125828,0.4478766288137153,1,0,exact,301,24,0.0,20260217,complement
-4,305,47.0,1.0,0.8814906672149126,0,1,exact,304,47,0.0,20260217,complement
-4,310,29.0,1.064516129032258,0.5041230200815048,1,1,exact,309,29,0.0,20260217,complement
-4,322,42.0,1.3975155279503106,0.5389581442508115,1,0,exact,321,42,0.0,20260217,complement
-4,324,34.0,1.9876543209876543,0.3051945334424521,2,0,exact,323,34,0.0,20260217,complement
-4,328,10.0,1.0,0.17661626854829707,3,0,exact,327,10,0.0,20260217,complement
-4,342,62.0,2.087719298245614,0.506664237672103,1,0,exact,341,62,0.0,20260217,complement
-4,355,54.0,1.028169014084507,0.8687516729634862,0,1,exact,354,54,0.0,20260217,complement
-4,362,32.0,1.0,0.5208083281171952,1,0,exact,361,32,0.0,20260217,complement
-4,364,24.0,1.2857142857142858,0.3024181470582944,2,0,exact,363,24,0.0,20260217,complement
-4,382,30.0,1.0104712041884816,0.4620793219124282,1,0,exact,381,30,0.0,20260217,complement
