D,R,N_R,H_R,C_sigma_inerte,v2_R,v5_R,method_row,n_samples,n_hits,se_N_R,seed,grid_name
-3,102,22.0,1.1176470588235294,0.892538613089947,1,0,exact,101,22,0.0,20260217,complement
-3,105,32.0,1.4000000000000001,1.0131070150002772,0,1,exact,104,32,0.0,20260217,complement
-3,110,54.0,1.6545454545454548,1.3946480206197278,1,1,exact,109,54,0.0,20260217,complement
-3,122,33.0,1.0,1.2994483153786678,1,0,exact,121,33,0.0,20260217,complement
-3,124,34.0,1.0,1.3216901066981555,2,0,exact,123,34,0.0,20260217,complement
-3,142,36.0,1.028169014084507,1.221984753929078,1,0,exact,141,36,0.0,20260217,complement
-3,155,52.0,1.4000000000000001,1.208562700828575,0,1,exact,154,52,0.0,20260217,complement
-3,162,17.0,1.0,0.5338835660429044,1,0,exact,161,17,0.0,20260217,complement
-3,164,47.0,1.048780487804878,1.3935681517891705,2,0,exact,163,47,0.0,20260217,complement
-3,168,23.0,1.0,0.7014950686087795,3,0,exact,167,23,0.0,20260217,complement
-3,182,48.0,1.0,1.3724852801081657,1,0,exact,181,48,0.0,20260217,complement
-3,202,49.0,1.0198019801980198,1.2626461998672769,1,0,exact,201,49,0.0,20260217,complement
-3,204,34.0,1.1176470588235294,0.7930529815381726,2,0,exact,203,34,0.0,20260217,complement
-3,205,70.0,1.4682926829268295,1.2379092974740482,0,1,exact,204,70,0.0,20260217,complement
-3,210,46.0,1.4000000000000001,0.8366222667108963,1,1,exact,209,46,0.0,20260217,complement
-3,220,95.0,1.6545454545454548,1.4076775189655886,2,1,exact,219,95,0.0,20260217,complement
-3,222,34.0,1.0,0.8274370765029617,1,0,exact,221,34,0.0,20260217,complement
-3,242,71.0,1.1983471074380165,1.343843374334913,1,0,exact,241,71,0.0,20260217,complement
-3,244,58.0,1.0,1.306703922405761,2,0,exact,243,58,0.0,20260217,complement
-3,248,62.0,1.0,1.3783571865412456,3,0,exact,247,62,0.0,20260217,complement
-3,255,75.0,1.5647058823529414,1.0415908919470724,0,1,exact,254,75,0.0,20260217,complement
-3,262,58.0,1.015267175572519,1.214150305331367,1,0,exact,261,58,0.0,20260217,complement
-3,275,108.0,1.7490909090909095,1.2611461092473797,0,2,exact,274,108,0.0,20260217,complement
-3,282,40.0,1.0425531914893618,0.7676064042092672,1,0,exact,281,40,0.0,20260217,complement
-3,284,70.0,1.028169014084507,1.3542061529838507,2,0,exact,283,70,0.0,20260217,complement
-3,302,70.0,1.0,1.323608911312056,1,0,exact,301,70,0.0,20260217,complement
-3,305,88.0,1.4000000000000001,1.1788932935397007,0,1,exact,304,88,0.0,20260217,complement
-3,310,96.0,1.4000000000000001,1.2689192178755815,1,1,exact,309,96,0.0,20260217,complement
-3,322,77.0,1.0869565217391304,1.2704013400197698,1,0,exact,321,77,0.0,20260217,complement
-3,324,18.0,1.0,0.3211524175440183,2,0,exact,323,18,0.0,20260217,complement
-3,328,80.0,1.048780487804878,1.3472124670660799,3,0,exact,327,80,0.0,20260217,complement
-3,342,37.0,1.0,0.6312514540096971,1,0,exact,341,37,0.0,20260217,complement
-3,355,103.0,1.43943661971831,1.183616697291522,0,1,exact,354,103,0.0,20260217,complement
-3,362,79.0,1.0,1.285745560039326,1,0,exact,361,79,0.0,20260217,complement
-3,364,81.0,1.0,1.3122787452708131,2,0,exact,363,81,0.0,20260217,complement
-3,382,78.0,1.0104712041884816,1.2014062369723133,1,0,exact,381,78,0.0,20260217,complement
