D,R,N_R,H_R,C_sigma_inerte,v2_R,v5_R,method_row,n_samples,n_hits,se_N_R,seed,grid_name
-43,102,25.0,1.6666666666666667,0.6801430607770986,1,0,exact,101,25,0.0,20260217,complement
-43,105,43.0,3.0000000000000004,0.6353025239897571,0,1,exact,104,43,0.0,20260217,complement
-43,110,23.0,1.4000000000000001,0.702019794891075,1,1,exact,109,23,0.0,20260217,complement
-43,122,17.0,1.0327868852459017,0.6481615695275029,1,0,exact,121,17,0.0,20260217,complement
-43,124,18.0,1.0,0.6997182917813763,2,0,exact,123,18,0.0,20260217,complement
-43,142,17.0,1.028169014084507,0.5770483560220646,1,0,exact,141,17,0.0,20260217,complement
-43,155,24.0,1.4000000000000001,0.5577981696131885,0,1,exact,154,24,0.0,20260217,complement
-43,162,42.0,1.9876543209876543,0.6635995219868326,1,0,exact,161,42,0.0,20260217,complement
-43,164,21.0,1.0,0.6530316767335864,2,0,exact,163,21,0.0,20260217,complement
-43,168,45.0,2.1428571428571432,0.6404954974254072,3,0,exact,167,45,0.0,20260217,complement
-43,182,28.0,1.2857142857142858,0.6227016548638898,1,0,exact,181,28,0.0,20260217,complement
-43,202,25.0,1.0,0.6569638239357928,1,0,exact,201,25,0.0,20260217,complement
-43,204,41.0,1.6666666666666667,0.6413027051400378,2,0,exact,203,41,0.0,20260217,complement
-43,205,36.0,1.4000000000000001,0.6676946315295564,0,1,exact,204,36,0.0,20260217,complement
-43,210,78.0,3.0000000000000004,0.6620228371364484,1,1,exact,209,78,0.0,20260217,complement
-43,220,37.0,1.4000000000000001,0.6479357766721991,2,1,exact,219,37,0.0,20260217,complement
-43,222,47.0,1.756756756756757,0.651091889610249,1,0,exact,221,47,0.0,20260217,complement
-43,242,26.0,1.0,0.5897205821490655,1,0,exact,241,26,0.0,20260217,complement
-43,244,29.0,1.0327868852459017,0.6326106291012018,2,0,exact,243,29,0.0,20260217,complement
-43,248,31.0,1.0,0.6891785932706228,3,0,exact,247,31,0.0,20260217,complement
-43,255,72.0,2.3333333333333335,0.6705394542040448,0,1,exact,254,72,0.0,20260217,complement
-43,262,30.0,1.015267175572519,0.6280087786196725,1,0,exact,261,30,0.0,20260217,complement
-43,275,47.0,1.4800000000000002,0.6486197582071962,0,2,exact,274,47,0.0,20260217,complement
-43,282,54.0,1.6666666666666667,0.6482191102779961,1,0,exact,281,54,0.0,20260217,complement
-43,284,33.0,1.028169014084507,0.6384114721209583,2,0,exact,283,33,0.0,20260217,complement
-43,302,34.0,1.0132450331125828,0.6344918908194299,1,0,exact,301,34,0.0,20260217,complement
-43,305,52.0,1.4459016393442625,0.6745038829559759,0,1,exact,304,52,0.0,20260217,complement
-43,310,44.0,1.4000000000000001,0.5815879748596415,1,1,exact,309,44,0.0,20260217,complement
-43,322,45.0,1.2857142857142858,0.6276686462548269,1,0,exact,321,45,0.0,20260217,complement
-43,324,72.0,1.9876543209876543,0.6462943061134281,2,0,exact,323,72,0.0,20260217,complement
-43,328,37.0,1.0,0.6534801936286991,3,0,exact,327,37,0.0,20260217,complement
-43,342,79.0,2.087719298245614,0.6455883028402603,1,0,exact,341,79,0.0,20260217,complement
-43,355,54.0,1.43943661971831,0.620536909259633,0,1,exact,354,54,0.0,20260217,complement
-43,362,37.0,1.0,0.602184629385507,1,0,exact,361,37,0.0,20260217,complement
-43,364,51.0,1.2857142857142858,0.6426385624988755,2,0,exact,363,51,0.0,20260217,complement
-43,382,38.0,1.0104712041884816,0.5853004744224091,1,0,exact,381,38,0.0,20260217,complement
