D,R,N_R,H_R,C_sigma_inerte,v2_R,v5_R,method_row,n_samples,n_hits,se_N_R,seed,grid_name
-43,101,14.0,1.0,0.6397196756017588,0,0,exact,100,14,0.0,20260217,principal
-43,121,13.0,1.0,0.515250223907088,0,0,exact,120,13,0.0,20260217,principal
-43,141,32.0,1.6666666666666667,0.6738736872004314,0,0,exact,140,32,0.0,20260217,principal
-43,161,24.0,1.2857142857142858,0.5891483321721116,0,0,exact,160,24,0.0,20260217,principal
-43,181,19.0,1.0,0.5456985833925453,0,0,exact,180,19,0.0,20260217,principal
-43,201,40.0,1.6666666666666667,0.6332304367831733,0,0,exact,200,40,0.0,20260217,principal
-43,221,27.0,1.0,0.6595040404569199,0,0,exact,220,27,0.0,20260217,principal
-43,241,30.0,1.008298755186722,0.6771354238877352,0,0,exact,240,30,0.0,20260217,principal
-43,261,57.0,2.019157088122605,0.6018551484201018,0,0,exact,260,57,0.0,20260217,principal
-43,281,30.0,1.0,0.6019595732384782,0,0,exact,280,30,0.0,20260217,principal
-43,301,33.0,1.2857142857142858,0.48665281327315985,0,0,exact,300,33,0.0,20260217,principal
-43,321,56.0,1.6666666666666667,0.6041134633556652,0,0,exact,320,56,0.0,20260217,principal
-43,341,34.0,1.0,0.5814780182628726,0,0,exact,340,34,0.0,20260217,principal
-43,361,46.0,1.1108033240997228,0.6755321348711036,0,0,exact,360,46,0.0,20260217,principal
-43,381,62.0,1.6666666666666667,0.5802418287525283,0,0,exact,380,62,0.0,20260217,principal
-43,401,35.0,1.0,0.523163715600324,0,0,exact,400,35,0.0,20260217,principal
