D,R,N_R,H_R,C_sigma_inerte,v2_R,v5_R,method_row,n_samples,n_hits,se_N_R,seed,grid_name
-4,101,20.0,1.0,0.9138852508596553,0,0,exact,100,20,0.0,20260217,principal
-4,121,28.0,1.1983471074380165,0.9260836915635086,0,0,exact,120,28,0.0,20260217,principal
-4,141,43.0,1.7375886524822697,0.8685578583112702,0,0,exact,140,43,0.0,20260217,principal
-4,161,42.0,1.3975155279503106,0.9485288147970997,0,0,exact,160,42,0.0,20260217,principal
-4,181,32.0,1.0,0.9190712983453394,0,0,exact,180,32,0.0,20260217,principal
-4,201,58.0,1.7164179104477615,0.8915701004852938,0,0,exact,200,58,0.0,20260217,principal
-4,221,37.0,1.0,0.9037647961817052,0,0,exact,220,37,0.0,20260217,principal
-4,241,38.0,1.0,0.8648227529985265,0,0,exact,240,38,0.0,20260217,principal
-4,261,76.0,1.8888888888888888,0.8578165333803747,0,0,exact,260,76,0.0,20260217,principal
-4,281,44.0,1.0,0.8828740407497679,0,0,exact,280,44,0.0,20260217,principal
-4,301,67.0,1.3455149501661128,0.9441392289831474,0,0,exact,300,67,0.0,20260217,principal
-4,321,82.0,1.6978193146417446,0.868363618525984,0,0,exact,320,82,0.0,20260217,principal
-4,341,70.0,1.2580645161290323,0.9515892154075669,0,0,exact,340,70,0.0,20260217,principal
-4,361,63.0,1.1108033240997228,0.9251853151495549,0,0,exact,360,63,0.0,20260217,principal
-4,381,92.0,1.6929133858267718,0.847655104669235,0,0,exact,380,92,0.0,20260217,principal
-4,401,59.0,1.0,0.881904549154832,0,0,exact,400,59,0.0,20260217,principal
