R_center,X_bar,std,n,var
100091.0,0.3410018189682566,0.051243754442881914,10000,0.00262592236940238
300091.0,0.3357491078415596,0.05006519791040723,10000,0.0025065240418082444
500091.0,0.3342947034375742,0.04996353306070714,10000,0.002496354635908375
700091.0,0.3334616734748174,0.049755705438870784,10000,0.0024756302237196755
900091.0,0.3327587742548801,0.04976512462806161,10000,0.002476567629246504
1100091.0,0.3322849916772869,0.04970795325897942,10000,0.002470880617196883
1300091.0,0.3319457073871989,0.049548851930829425,10000,0.002455088727663259
1500091.0,0.3316118653124151,0.04961193466010579,10000,0.0024613440607186067
1700091.0,0.3313777059802211,0.04948069759561291,10000,0.0024483394345484934
1900091.0,0.3311028950732865,0.049546957544755486,10000,0.0024549010019418024
2100081.0,0.3309131612900783,0.049424834739645436,9999,0.0024428142890412625
2300071.0,0.33072680543667277,0.04949923608398359,10000,0.0024501743728979433
2500071.0,0.3305836259906026,0.04937174229466255,10000,0.0024375689372105706
2700071.0,0.3304166188274778,0.04946225539310066,10000,0.0024465147085723153
2900071.0,0.3302786509917819,0.0494372001950527,10000,0.0024440367631257186
3100071.0,0.3302051571288964,0.04932776522055302,10000,0.0024332284216540003
3300071.0,0.33003069569012633,0.049406619870802776,10000,0.0024410140870580036
3500071.0,0.32996292306834063,0.04929065995716493,10000,0.0024295691590128623
3700071.0,0.3298237696111994,0.049387511630987146,10000,0.0024391263051008905
3900071.0,0.3297473365519906,0.04926098508096515,10000,0.002426644651147071
4100061.0,0.3296649790449012,0.049368580086535274,9999,0.002437256699760647
4300051.0,0.3295982533576621,0.04924229308163395,10000,0.0024248034279375345
4500051.0,0.3295094557509587,0.0493380310704377,10000,0.002434241309907476
4700051.0,0.3294393960272083,0.04933593249035839,10000,0.002434034234693201
4900051.0,0.32938974427659184,0.04921525098899228,10000,0.0024221409299095054
5100051.0,0.3293020080046393,0.04931912438760222,10000,0.00243237603035978
5300051.0,0.3292884233189166,0.04920252609971201,10000,0.002420888574592842
5500051.0,0.3291789775297707,0.04929620721757579,10000,0.0024301160460381715
5700051.0,0.32914702307115173,0.049191155001491606,10000,0.002419769730380773
5900051.0,0.3290710602556435,0.049283308477135405,10000,0.0024288444944524866
6100041.0,0.32905334432399713,0.0491811905338387,9999,0.0024187895023257454
6300031.0,0.3289761353387365,0.0492691897321785,10000,0.002427453056865404
6500031.0,0.328927509012226,0.049270419779827476,10000,0.0024275742652804144
6700031.0,0.3289223544015703,0.04915586098617214,10000,0.00241629866929188
6900031.0,0.328847223850592,0.04925379549319978,10000,0.002425936370485947
7100031.0,0.3288326769878719,0.04915141903571384,10000,0.002415861993224333
7300031.0,0.3287393704874317,0.04923968285063298,10000,0.00242454636723092
7500031.0,0.3287415924253122,0.049139024693538855,10000,0.0024146437478322212
7700031.0,0.3286600342025391,0.04922853017718857,10000,0.0024234481834063655
7900031.0,0.32863047418943486,0.04922354708023391,10000,0.002422957587160004
8100021.0,0.32862120737679545,0.0491254449621267,9999,0.00241330934272694
8300011.0,0.32855943515633046,0.04921601215641838,10000,0.002422215852580722
8500011.0,0.3285478320733951,0.049112496341891534,10000,0.002412037296932309
8700011.0,0.3284791656866881,0.04920461757968999,10000,0.0024210943911635373
8900011.0,0.32849395285710997,0.04909886588757271,10000,0.002410698631445851
9100011.0,0.328434362980201,0.04920478907453974,10000,0.0024211112678699455
9300011.0,0.32844404942065136,0.04909323325994246,10000,0.002410145551915121
9500011.0,0.32837380671102995,0.04919864633897507,10000,0.002420506801587545
9700011.0,0.3283436352564731,0.04918763558144265,10000,0.002419423494092803
9900011.0,0.3283437886425942,0.04908112249214116,10000,0.0024089565850885647
