D,R,N_R,H_R,C_sigma_inerte
-43,44641,1474,1.000044801864,0.353498765527
-43,44661,2389,1.666666666667,0.343637788468
-43,44681,1920,1.290951411114,0.356408921098
-43,44701,1450,1.000000000000,0.347335387799
-43,44721,2728,1.888888888889,0.345814229674
-43,44741,1471,1.000000000000,0.352080142537
-43,44761,1449,1.000000000000,0.346674002762
-43,44781,2414,1.666666666667,0.346390134390
-43,44801,1518,1.031427869914,0.351830992938
-43,44821,2152,1.421052631579,0.361874142999
-43,44841,2390,1.666889676858,0.342484431688
-43,44861,1511,1.017699115044,0.354502479776
-43,44881,1574,1.054054054054,0.356402344245
-43,44901,2879,1.965323712167,0.349486860205
-43,44921,1598,1.068965517241,0.356501213089
-43,44941,1463,1.000000000000,0.348752225842
-43,44961,3191,2.144858877694,0.354507599602
-43,44981,1494,1.001378359752,0.355365078110
-43,45001,1457,1.000000000000,0.346902048099
-43,45021,91,1.676217765043,0.012920618482
-43,45041,1526,1.027397260274,0.353356914915
-43,45061,1459,1.000000000000,0.346958832270
-43,45081,2754,1.888888888889,0.346581556481
-43,45101,1931,1.285714285714,0.356870848246
-43,45121,1464,1.000000000000,0.347728083682
-43,45141,2425,1.666666666667,0.345451578963
-43,45161,1463,1.000000000000,0.347211490961
-43,45181,1471,1.000000000000,0.348969995339
-43,45201,2851,1.902502157032,0.355363813820
-43,45221,1469,1.000486499635,0.348046691574
-43,45241,1929,1.285714285714,0.355500802469
-43,45261,2795,1.888888888889,0.350472691715
-43,45281,1482,1.000044168636,0.350859983345
-43,45301,1536,1.022471910112,0.355525499629
-43,45321,2422,1.666666666667,0.343781497844
-43,45341,1465,1.000044110187,0.346419108238
-43,45361,1467,1.000044090739,0.346753356536
-43,45381,3155,2.142857142857,0.347890256011
-43,45401,1478,1.000000000000,0.349089706136
-43,45421,1466,1.000000000000,0.346117169017
-43,45441,3018,1.995884773663,0.356861406270
-43,45461,1480,1.000000000000,0.349143726269
-43,45481,1476,1.000043974407,0.348045944738
-43,45501,2674,1.788422232478,0.352441894245
-43,45521,2012,1.329386437029,0.356615206516
-43,45541,1476,1.000000000000,0.347645409806
-43,45561,2428,1.666886152631,0.342941448227
-43,45581,1671,1.106184594458,0.355511165395
-43,45601,1449,1.000000000000,0.340878828457
-43,45621,3062,2.020056552903,0.356451641212
-43,45641,1465,1.000043820249,0.344353852979
-43,45661,1955,1.290050590219,0.356085131139
-43,45681,2447,1.666885576060,0.344801814154
-43,45701,1500,1.000000000000,0.352176389745
-43,45721,1498,1.000568666477,0.351367496424
-43,45741,2462,1.666666666667,0.346548269332
-43,45761,1457,1.000000000000,0.341673917896
-43,45781,1519,1.000742666172,0.355807869030
-43,45801,3678,2.435252505404,0.353896205815
-43,45821,1504,1.000043648109,0.352261455199
-43,45841,1510,1.000043629066,0.353526832688
-43,45861,2433,1.666884716862,0.341608870298
-43,45881,58,1.000000000000,0.013569032264
-43,45901,1513,1.008583690987,0.350813444688
-43,45921,2463,1.666884431959,0.345411345490
-43,45941,1937,1.286106092597,0.351932205343
-43,45961,1694,1.105263157895,0.357999550024
-43,45981,3029,1.992931863161,0.354870785413
-43,46001,1528,1.012738853503,0.352142171360
-43,46021,1495,1.000000000000,0.348788495993
-43,46041,2501,1.689038031320,0.345321883170
-43,46061,1482,1.000043420681,0.345468246359
-43,46081,2153,1.386493348669,0.361854562623
-43,46101,2500,1.666666666667,0.349404240279
-43,46121,1500,1.000000000000,0.349266830404
-43,46141,1508,1.000043345398,0.350976344508
-43,46161,2892,1.905829596413,0.353052157013
-43,46181,1506,1.000043307854,0.350235531430
-43,46201,1516,1.002034587996,0.351722371538
-43,46221,3352,2.203219315895,0.353556903506
-43,46241,1494,1.000000000000,0.347050960432
-43,46261,1506,1.000000000000,0.349701350080
-43,46281,2469,1.666882738057,0.343809707450
-43,46301,1501,1.000043195611,0.348252190485
-43,46321,1504,1.000000000000,0.348826654309
-43,46341,3212,2.087719298246,0.356693530509
-43,46361,2150,1.370354392701,0.363602962573
-43,46381,1534,1.000043121106,0.355351867995
-43,46401,2447,1.666882179263,0.339947012488
-43,46421,1561,1.035501174038,0.348951232054
-43,46441,1523,1.000000000000,0.352405493559
-43,46461,2498,1.670325649469,0.345911070007
-43,46481,1492,1.000000000000,0.344962973422
-43,46501,2159,1.362873916690,0.366126510766
-43,46521,2998,1.965241503837,0.352436226299
-43,46541,1514,1.000000000000,0.349640244735
-43,46561,1502,1.000000000000,0.346733851869
-43,46581,2486,1.666666666667,0.344198940645
-43,46601,1512,1.000042917534,0.348755626162
-43,46621,1482,1.000000000000,0.341717531350
-43,46641,3251,2.144786775584,0.349367869601
-43,46661,1630,1.070294250016,0.350885690765
-43,46681,1504,1.000042843984,0.346371122956
-43,46701,2849,1.889616924691,0.347106223676
-43,46721,1689,1.106162111256,0.351387200269
-43,46741,57,1.001839926403,0.013088292847
-43,46761,2500,1.666666666667,0.344928620041
-43,46781,2017,1.301489921122,0.356233387275
-43,46801,1490,1.000000000000,0.342363478885
-43,46821,2501,1.666666666667,0.344665494139
-43,46841,1523,1.000000000000,0.349674965863
-43,46861,1536,1.000042679414,0.352508150478
-43,46881,2837,1.888888888889,0.344573061570
-43,46901,1513,1.000000000000,0.346975901150
-43,46921,1996,1.285714285714,0.355884037800
-43,46941,2503,1.666666666667,0.344141201160
-43,46961,1576,1.013245033113,0.356285788042
-43,46981,1512,1.000000000000,0.346210974606
-43,47001,2508,1.666666666667,0.344429358344
-43,47021,1520,1.000552944429,0.347582021721
-43,47041,1552,1.000042516103,0.354943744085
-43,47061,4027,2.555555555556,0.360259240221
-43,47081,1580,1.022471910112,0.353148324363
-43,47101,1834,1.165007112376,0.359629158303
-43,47121,2581,1.696165191740,0.347485561446
-43,47141,1543,1.000000000000,0.352221340558
-43,47161,1531,1.000042407922,0.349332842219
-43,47181,2517,1.666878616392,0.344425151780
-43,47201,2023,1.285714285714,0.358756745824
-43,47221,1553,1.000042354037,0.353944231904
-43,47241,3173,2.019157088123,0.358026296378
-43,47261,1533,1.000000000000,0.349132574607
-43,47281,1529,1.000000000000,0.348087979399
-43,47301,2500,1.666878078688,0.341311646772
-43,47321,1526,1.000000000000,0.347138619674
-43,47341,1994,1.286094505819,0.352560946394
-43,47361,2534,1.666666666667,0.345599731546
-43,47381,1501,1.000000000000,0.341059303344
