D,C_base,C_inf,se_C_inf,a,se_a,S_Delta,R2
-163,0.2763150168038978,0.15684444380255083,7.781474848783837e-05,-0.0007260390934148785,0.0011935843487469759,0.5676290981820367,0.0018652530744687201
-67,0.4309837432842977,0.2436187988935801,0.0001417603479689248,0.32101530870273487,0.0021744326865629905,0.565262153595611,0.9909971904739803
-43,0.5379774380880832,0.3086212820768715,0.00018716368614600024,0.4830535353282254,0.002870865109492341,0.5736695634926252,0.9930549795594821
-19,0.8093222677143657,0.4932794627905801,0.0002729117821144459,0.8137583402693177,0.0041861374360331926,0.6094969611841613,0.9947876731022375
-11,1.0636578451631447,0.7027874458357958,0.0003832713458730108,1.059665479162994,0.005878919981714158,0.6607269894464998,0.9939426309595496
-8,1.2472493800032607,0.6920676162950297,7.036868380775172e-05,0.8193748839007334,0.0010793707011465072,0.5548750934582308,0.9996565275152274
-7,1.3333656730966912,0.48616856528856106,0.0002508621600401428,0.8938670244861082,0.0038479228389920257,0.3646175802317252,0.9963442080851601
-4,0.8819384944310228,0.7350324819819152,6.443918245219267e-05,0.7748225637090183,0.000988419305024275,0.833428279435877,0.9996778907497718
-3,0.6789165695579257,0.742984528403938,0.0003371573936315089,1.3529524752995707,0.005171587596479699,1.094367941097284,0.9971153489893761
