D,SD_C_sigma_inerte,SD_C_sigma_star,ratio_star_over_inerte,R_tail_min
-163,0.01216903302544253,0.0064059146736658214,0.526411150357846,1000000
-67,0.031282155334348985,0.01473059962496402,0.4708946512003688,1000000
-43,0.04930143774273306,0.020871996500214908,0.4233547226174231,1000000
-19,0.11267874552502778,0.03833478836733504,0.34021312705172296,1000000
-11,0.19577559519907797,0.05795633531658198,0.29603452492455984,1000000
-8,0.00760800724837997,0.00760800724837997,1.0,1000000
-7,0.15899840588465775,0.04507087852330586,0.2834674868124253,1000000
-4,0.006531930651192879,0.006531930651192879,1.0,1000000
-3,0.2786396161179548,0.07230555905317763,0.25949489904037537,1000000
