R_center,X_bar,std,n,var,x,y,yhat,resid,w
100091.0,0.7132874138455768,0.19924408581661068,10000,0.039698205732896924,0.0868520345788934,0.7132874138455768,0.7106475496705501,0.002639864175026707,0.9671396295084932
300091.0,0.7041938156398084,0.1975651529848172,10000,0.03903198967391422,0.07929056485496733,0.7041938156398084,0.7048726244788651,-0.0006788088390566882,0.9836472161788123
500091.0,0.7019052754289139,0.19705208592494128,10000,0.03882952456737044,0.0762047280083212,0.7019052754289139,0.7025158767044557,-0.0006106012755418,0.9887761545483666
700091.0,0.7004141975740394,0.19682044499032073,10000,0.038738287566187864,0.07429991496416956,0.7004141975740394,0.7010611128509002,-0.0006469152768607822,0.9911049351127552
900091.0,0.6994242778543417,0.19665802942327112,10000,0.038674380536644175,0.07293812412207666,0.6994242778543417,0.7000210716251946,-0.0005967937708528659,0.9927426749159598
1100091.0,0.6987205197625606,0.19652763252550098,10000,0.03862311034607835,0.07188605706013378,0.6987205197625606,0.6992175759026459,-0.000497056140085328,0.9940604897079252
1300091.0,0.698061624466164,0.19643995056127544,10000,0.03858865417651634,0.07103309558229161,0.698061624466164,0.6985661431910474,-0.0005045187248833294,0.994948095599325
1500091.0,0.6975581439954531,0.19635453481723145,10000,0.038555103343291354,0.07031836335494311,0.6975581439954531,0.6980202803765784,-0.00046213638112524436,0.995813904136414
1700091.0,0.6971228683640368,0.1962591770261207,10000,0.03851766456697018,0.06970490681492753,0.6971228683640368,0.6975517648952917,-0.00042889653125488536,0.9967818250743425
1900091.0,0.6967362955284778,0.1962144416384513,10000,0.03850010710748922,0.06916867117295268,0.6967362955284778,0.6971422253704925,-0.0004059298420147073,0.9972363941085596
2100081.0,0.6964255396564046,0.19617637820996797,9999,0.038485171367580395,0.06869317734409197,0.6964255396564046,0.6967790762221081,-0.0003535365657034717,0.9975236500104746
2300071.0,0.6961446750542796,0.19609708504624093,10000,0.03845406676363265,0.06826660584936811,0.6961446750542796,0.6964532905533325,-0.0003086154990529222,0.9984303668234159
2500071.0,0.6958825010419336,0.19607635474782273,10000,0.03844593689119402,0.0678802308390209,0.6958825010419336,0.6961582041664054,-0.00027570312447178225,0.9986414973661335
2700071.0,0.6955341628213254,0.19612199640112787,10000,0.03846383747236402,0.06752746799166377,0.6955341628213254,0.6958887884141414,-0.0003546255928159603,0.998176742303767
2900071.0,0.6954107396942815,0.19597656034412278,10000,0.0384068122043136,0.06720319106003894,0.6954107396942815,0.6956411282250651,-0.00023038853078360955,0.9996588048084278
3100071.0,0.6951825047603589,0.19595941428655617,10000,0.03840009204753015,0.06690334585005286,0.6951825047603589,0.6954121272874199,-0.00022962252706093533,0.9998337487614255
3300071.0,0.6950088573137072,0.19590931074022863,10000,0.03838045803471146,0.06662467295161316,0.6950088573137072,0.6951992962902466,-0.00019043897653936437,1.0003452264676578
3500071.0,0.6948260157801592,0.19590050002657322,10000,0.03837700591066141,0.06636451428931774,0.6948260157801592,0.6950006051802404,-0.00017458940008119317,1.0004352104498027
3700071.0,0.6946899152435605,0.1958791387085557,10000,0.0383686369812056,0.06612067490001787,0.6946899152435605,0.6948143775970581,-0.00012446235349761192,1.0006534243964036
3900071.0,0.6945569475944124,0.195828905408799,10000,0.038348960193608346,0.06589132209123462,0.6945569475944124,0.6946392138575227,-8.226626311025331e-05,1.001166858001667
4100061.0,0.6943722130542125,0.1958323416224217,9999,0.03835030602532088,0.06567492102582143,0.6943722130542125,0.6944739417596648,-0.00010172870545233081,1.0010316107652546
4300051.0,0.6942623532261003,0.19580328331007413,10000,0.03833892575500515,0.0654701454572413,0.6942623532261003,0.6943175484085292,-5.519518242891319e-05,1.0014288931831525
