R_center,X_bar,std,n,var
1022501.0,0.7793621200458973,0.06500758484251949,2251,0.00422598608705737
1067511.0,0.7795682473838977,0.06801218314354487,2250,0.004625657055951089
1112511.0,0.7791097427953675,0.06679076911648507,2250,0.004461006839171616
1157511.0,0.7787381904229884,0.06469289098376324,2250,0.004185170143837075
1202511.0,0.7790652510588644,0.07391788666144485,2250,0.005463853968494206
1247511.0,0.7784618711507026,0.06641235342182474,2250,0.004410600687025356
1292511.0,0.7780573599257311,0.06378883769288998,2250,0.0040690158142098615
1337511.0,0.7780383802739698,0.06532071586741257,2250,0.004266795921431245
1382511.0,0.7778384607373671,0.06566217661382862,2250,0.004311521437665621
1427511.0,0.7775640636308959,0.06343789498859394,2250,0.004024366520583872
1472511.0,0.7779460659522054,0.07600801749088028,2250,0.005777218722893962
1517511.0,0.7773915318863027,0.0650576272732396,2250,0.004232494866423769
1562511.0,0.7768709976432009,0.06140748539829452,2250,0.0037708792629417547
1607511.0,0.7770059132585044,0.06422779412016819,2250,0.004125209537542711
1652511.0,0.7769644705919583,0.0641661450076956,2250,0.004117294165148619
1697511.0,0.7766063127150151,0.06367905362436671,2250,0.004055021870494971
1742511.0,0.7764646169035551,0.06207230116251302,2250,0.003852970571609715
1787511.0,0.7755548507865164,0.06261726808076154,2250,0.003920922261897958
1832511.0,0.7763721288923928,0.06363737347090967,2250,0.004049715302276038
1877511.0,0.7759443449493587,0.06099962008387746,2250,0.003720953650377386
1922511.0,0.7759515755058387,0.06213452229627486,2250,0.003860698860986278
1967511.0,0.7759615335615155,0.06317237715887984,2250,0.003990749235903764
2012511.0,0.775559703006748,0.060055787844890816,2250,0.0036066976536705355
2057511.0,0.7761997836038471,0.07083653916407992,2250,0.005017815280744228
2102511.0,0.7756201721568018,0.062403688095573825,2250,0.003894220287929662
2147511.0,0.7752481841917596,0.05961750324360195,2250,0.0035542466930008894
2192511.0,0.7753680785297262,0.06213018574070618,2250,0.0038601599801746495
2237511.0,0.7751731056750765,0.06112148785070608,2250,0.0037358362770840104
2282511.0,0.7751880797958494,0.061880057143794624,2250,0.003829141472119288
2327511.0,0.7749427828290889,0.05988486119687136,2250,0.0035861966005685487
2372511.0,0.7751958479782586,0.06831138383773563,2250,0.004666445161826449
2417511.0,0.7749024701679489,0.06085825406574636,2250,0.0037037270879309333
2462511.0,0.7745099578940768,0.05877670044153816,2250,0.0034547005147943124
2507511.0,0.774783624023241,0.061164707836266055,2250,0.003741121484695786
2552511.0,0.7747305634339684,0.06152288100732128,2250,0.003785064887441013
2597511.0,0.7741857639323759,0.05826507392307324,2250,0.0033948188392611896
2642511.0,0.7748291213221525,0.06746959308059525,2250,0.004552145990461106
2687511.0,0.77419333897034,0.06007839032806583,2250,0.0036094129844114337
2732511.0,0.7740947926391996,0.05876274064421715,2250,0.0034530596880195303
