R_center,X_bar,std,n,var
1022501.0,0.751374520979925,0.008516439580036617,2251,7.252974312041427e-05
1067511.0,0.7511707271565391,0.008484269961701756,2250,7.198283678303471e-05
1112511.0,0.7509243568358582,0.008469821049305408,2250,7.173786860725696e-05
1157511.0,0.7508066095356623,0.008401331653810172,2250,7.058237355731276e-05
1202511.0,0.7506605298511316,0.00835614387288459,2250,6.982514042434666e-05
1247511.0,0.7504998316666005,0.008322487875970211,2250,6.926380444567116e-05
1292511.0,0.7503862593983529,0.008247062948742676,2250,6.801404728052424e-05
1337511.0,0.750260179832096,0.00825812551312266,2250,6.819663699048741e-05
1382511.0,0.750086972814884,0.008228645565697886,2250,6.771060784587948e-05
1427511.0,0.749984932173408,0.008169270900425046,2250,6.673698704453144e-05
1472511.0,0.7497616557361391,0.008187131453146573,2250,6.702912143110191e-05
1517511.0,0.7496648977224097,0.008194732196403015,2250,6.715363577076419e-05
1562511.0,0.7495437878820573,0.008145961320294742,2250,6.635668583173807e-05
1607511.0,0.7494343039218408,0.008109422710564683,2250,6.576273669862226e-05
1652511.0,0.7493235071253951,0.008080672272571377,2250,6.529726437670387e-05
1697511.0,0.7492415028946707,0.00801455973904619,2250,6.423316781074012e-05
1742511.0,0.7491288506269032,0.00805001175904578,2250,6.480268932077534e-05
1787511.0,0.7489462016401254,0.008016251977251955,2250,6.426029576279587e-05
1832511.0,0.7488929856794356,0.007960162055873092,2250,6.336417995576174e-05
1877511.0,0.7487782048291525,0.007913829815990134,2250,6.262870235645443e-05
1922511.0,0.7487039459785391,0.00793133481436566,2250,6.290607193756876e-05
1967511.0,0.7486691319003907,0.007904194840938895,2250,6.247629608352504e-05
2012511.0,0.7485619223988271,0.007908126419145943,2250,6.253846346119404e-05
2057511.0,0.7484511820869377,0.007843433227554741,2250,6.151944479510978e-05
2102511.0,0.7483611640962992,0.007840394013021354,2250,6.147177827942109e-05
2147511.0,0.7482982250924791,0.007780359230031483,2250,6.0533989748336096e-05
2192511.0,0.7481793151842266,0.007818830924375538,2250,6.113411702397124e-05
2237511.0,0.7481176265820498,0.007818685074346951,2250,6.113183629181578e-05
2282511.0,0.7479977082029733,0.00778708572167164,2250,6.063870403666233e-05
2327511.0,0.7479576773983352,0.007773621787319163,2250,6.042919569228317e-05
2372511.0,0.747901839689835,0.007753146908028481,2250,6.01112869774716e-05
2417511.0,0.7478197520283311,0.007754061297901348,2250,6.0125466611611536e-05
2462511.0,0.7477354288032098,0.0077243950528378775,2250,5.9666278932306276e-05
2507511.0,0.7476774027253894,0.00774599554143407,2250,6.000044692791649e-05
2552511.0,0.7476250898878688,0.007720746400106086,2250,5.960992497475109e-05
2597511.0,0.7475578844836289,0.007706850302666169,2250,5.939554158770563e-05
2642511.0,0.7475039648113898,0.007673836609536762,2250,5.888776830986667e-05
